縣市鄉鎮名稱,種植面積,收穫面積,每公頃收量,收量
臺北市,3.94,3.94,728,"2,870"
新北市,12.34,8.93,279,"2,495"
桃園市,20.77,6.06,582,"3,528"
新竹縣,9.32,9.32,538,"5,012"
苗栗縣,65.17,65.17,925,"60,292"
臺中市,47.01,46.96,705,"33,104"
彰化縣,22.65,22.65,749,"16,976"
南投縣,187.53,186.93,915,"170,958"
雲林縣,60.42,60.42,"1,078","65,143"
嘉義縣,142.1,141.8,790,"112,058"
嘉義市,1.1,1.1,986,"1,085"
臺南市,59.47,59.47,991,"58,939"
高雄市,79.22,79.19,953,"75,478"
屏東縣,236.5,228.92,813,"186,050"
宜蘭縣,8.77,8.07,626,"5,050"
花蓮縣,74.69,67.3,540,"36,327"
臺東縣,147.8,147.1,986,"145,067"
金門縣,0.05,0.05,360,18
